"Name","td__rating","td__spec","td__spec 2","td__price","td__spec 3","td__spec 4"
"Cooler Master Hyper 212 Black Edition","(12)","800 - 2000 RPM","6.5 - 26 dB","$36.99","",""
"Cooler Master MASTERLIQUID ML240L RGB V2","(115)","650 - 1800 RPM","6 - 27 dB","$91.60","Black","240 mm"
"be quiet! Dark Rock Pro 4","(169)","1500 RPM","12.8 - 24.3 dB","$59.90","Black",""
"Thermalright Peerless Assassin 120 SE","(36)","1550 RPM","25.6 dB","$33.90","Black",""
"Corsair iCUE H150i ELITE CAPELLIX XT","(8)","550 - 2100 RPM","5 - 34.1 dB","$159.99","Black","360 mm"
"NZXT Kraken Elite 360 RGB","(8)","500 - 1800 RPM","17.9 - 30.6 dB","$286.63","White","360 mm"
"Noctua NH-D15 chromax.black","(208)","300 - 1500 RPM","19.2 - 24.6 dB","$119.95","Black",""
"NZXT Kraken 240","(3)","500 - 1800 RPM","17.9 - 30.6 dB","$129.99","Black","240 mm"
"Deepcool AG400 BK ARGB","(11)","500 - 2000 RPM","31.6 dB","$25.49","Black",""
"ARCTIC Liquid Freezer II 360","(62)","800 - 2000 RPM","Black","$114.99","360 mm",""
"Deepcool AK400","(21)","500 - 1850 RPM","29 dB","$27.99","Black / Silver",""
"Corsair iCUE H100i RGB ELITE","(5)","400 - 1850 RPM","5 - 28.9 dB","$108.99","Black","240 mm"
"Noctua NH-D15","(171)","300 - 1500 RPM","19.2 - 24.6 dB","$109.95","",""
"NZXT Kraken Elite 360 RGB","(3)","500 - 1800 RPM","17.9 - 30.6 dB","$286.99","Black","360 mm"
"Noctua NH-U12S chromax.black","(124)","300 - 1500 RPM","18.6 - 22.4 dB","$89.95","Black",""
"Corsair iCUE H150i ELITE LCD XT","(6)","550 - 2100 RPM","5 - 34.1 dB","$224.99","Black","360 mm"
"NZXT Kraken 240 RGB","(2)","500 - 1800 RPM","17.9 - 30.6 dB","$177.99","White","240 mm"
"Thermalright Peerless Assassin 120 SE WHITE ARGB","(9)","1550 RPM","25.6 dB","$35.90","White",""
"ARCTIC Liquid Freezer II 240","(59)","200 - 1800 RPM","Black","$97.98","240 mm",""
"Cooler Master Hyper 212 RGB Black Edition","(2)","650 - 2000 RPM","8 - 30 dB","$44.99","",""
"Thermalright Phantom Spirit 120 SE","(7)","1500 RPM","25.6 dB","$35.90","Black / Silver",""
"Thermalright Assassin X 120 Refined SE","(16)","1550 RPM","25.6 dB","$17.89","Black / Silver",""
"NZXT Kraken 360","(2)","500 - 1800 RPM","17.9 - 30.6 dB","$178.99","Black","360 mm"
"Deepcool AK620","(42)","500 - 1850 RPM","28 dB","$50.69","Black / Silver",""
"Deepcool LT720","(20)","500 - 2250 RPM","32.9 dB","$106.99","Black / Gray","360 mm"
"be quiet! Pure Rock 2 Black","(40)","1500 RPM","19.1 - 26.8 dB","$29.99","Black",""
"AMD Wraith Prism","(4)","2800 RPM","42 dB","$92.00","",""
"Deepcool LS520 SE","(4)","500 - 2250 RPM","28.2 - 32.9 dB","$71.99","Black","240 mm"
"Deepcool AK620 ZERO DARK","(20)","500 - 1850 RPM","28 dB","$55.99","Black",""
"Thermalright Peerless Assassin 120 SE ARGB","(27)","1550 RPM","25.6 dB","","Black",""
"Lian Li Galahad II Trinity SL-INF","(1)","2100 RPM","29 dB","$164.99","White","360 mm"
"Corsair iCUE H100i ELITE CAPELLIX XT","(4)","550 - 2100 RPM","5 - 34.1 dB","$134.99","Black","240 mm"
"Thermalright Phantom Spirit 120 SE ARGB","(7)","1500 RPM","25.6 dB","$35.99","Black / Silver",""
"Noctua NH-U12A chromax.black","(40)","450 - 2000 RPM","18.8 - 22.6 dB","$129.94","Black",""
"Corsair iCUE H150i ELITE CAPELLIX XT","(7)","550 - 2100 RPM","White","$169.99","360 mm",""
"ID-COOLING SE-214-XT","(25)","500 - 1500 RPM","13.8 - 30.5 dB","$16.98","Black",""
"ARCTIC Liquid Freezer II 360 A-RGB","(21)","200 - 1800 RPM","22.5 dB","$134.99","Black / Gray","360 mm"
"ARCTIC Liquid Freezer II 280","(41)","200 - 1700 RPM","Black","$103.99","280 mm",""
"Deepcool LS720","(12)","500 - 2250 RPM","32.9 dB","$99.98","Black","360 mm"
"Lian Li Galahad II Trinity SL-INF","(3)","2100 RPM","29 dB","$161.80","Black","360 mm"
"NZXT Kraken X73","(52)","500 - 2000 RPM","21 - 36 dB","$129.99","Black","360 mm"
"NZXT Kraken Elite 360","(7)","500 - 1800 RPM","17.9 - 30.6 dB","$269.99","Black","360 mm"
"Deepcool AK620","(15)","500 - 1850 RPM","28 dB","$51.99","White",""
"Thermalright Frozen Notte ARGB","(3)","2000 RPM","27.7 dB","$57.90","Black","240 mm"
"Deepcool LS720 SE","(3)","500 - 2250 RPM","28.2 - 32.9 dB","$87.99","Black","360 mm"
"Thermalright Assassin X Refined SE ARGB","(11)","1550 RPM","25.6 dB","$18.89","Black / Silver",""
"NZXT Kraken 360 RGB","(3)","500 - 1800 RPM","17.9 - 30.6 dB","$214.49","White","360 mm"
"ID-COOLING FROSTFLOW X","(6)","700 - 1800 RPM","18 - 35.2 dB","$49.49","240 mm",""
"Intel E97379-001","(26)","1200 - 2800 RPM","22 dB","$8.99","Silver / Black",""
"Deepcool AK400","(9)","500 - 1850 RPM","29 dB","$27.99","White",""
"Asus ROG RYUJIN II ARGB","(1)","Black","360 mm","$586.97","",""
"Asus ROG Ryujin III ARGB","(2)","600 - 2200 RPM","36.45 dB","$319.99","Black","360 mm"
"ARCTIC Liquid Freezer II 420","(11)","200 - 1700 RPM","Black","$136.08","420 mm",""
"be quiet! Pure Rock Slim 2","(14)","13.1 - 25.4 dB","Black / Silver","$26.90","",""
"Corsair iCUE H100i ELITE CAPELLIX XT","(1)","550 - 2100 RPM","5 - 34.1 dB","$164.99","White","240 mm"
"Noctua NH-L9i-17xx chromax.black","(4)","600 - 2500 RPM","14.8 - 23.6 dB","$54.95","Black",""
"MSI MAG CORELIQUID 240R V2","(4)","500 - 2000 RPM","14.3 - 34.3 dB","$69.99","Black","240 mm"
"NZXT Kraken Z73 RGB","(5)","500 - 1500 RPM","22 - 33 dB","$466.81","Black","360 mm"
"Deepcool LT520","(16)","500 - 2250 RPM","32.9 dB","$87.99","Black / Gray","240 mm"
"NZXT Kraken 240 RGB","(0)","500 - 1800 RPM","17.9 - 30.6 dB","$179.99","Black","240 mm"
"Noctua NH-L9i chromax.black","(21)","600 - 2500 RPM","14.8 - 23.6 dB","$54.95","Black",""
"Corsair iCUE H100x RGB ELITE","(2)","1500 RPM","7 - 28 dB","","Black","240 mm"
"Cooler Master MA621P TR4","(1)","600 - 1800 RPM","31 dB","$697.51","Black / Silver",""
"Deepcool AK500 ZERO DARK","(4)","500 - 1850 RPM","25.9 - 31.5 dB","$44.98","Black",""
"Noctua NH-L12S","(36)","450 - 1850 RPM","16.8 - 23.9 dB","$59.95","",""
"Thermalright Assassin King SE ARGB","(8)","1550 RPM","25.6 dB","$22.90","White",""
"MSI MAG CORELIQUID 360R V2","(1)","500 - 2000 RPM","14.3 - 34.3 dB","$79.99","Black","360 mm"
"Scythe Fuma 3","(3)","200 - 1500 RPM","4 - 28.6 dB","$40.99","Black / Silver",""
"be quiet! Dark Rock 4","(88)","1400 RPM","Black","$74.90","",""
"Deepcool AK620 DIGITAL","(2)","500 - 1850 RPM","28 dB","$91.81","Black",""
"Corsair iCUE H150i RGB ELITE","(2)","400 - 1850 RPM","19 - 35.8 dB","$142.99","Black","360 mm"
"Cooler Master MASTERLIQUID ML120L RGB V2","(9)","650 - 1800 RPM","6 - 27 dB","$69.99","Black","120 mm"
"Noctua NH-D15S chromax.black","(54)","300 - 1500 RPM","19.2 - 24.6 dB","$109.95","Black",""
"NZXT Kraken 280","(1)","500 - 1500 RPM","19.4 - 32.1 dB","$129.99","Black","280 mm"
"Deepcool LS720 SE WH","(1)","500 - 2250 RPM","28.2 - 32.9 dB","$87.99","White","360 mm"
"Corsair iCUE H150i ELITE LCD XT","(5)","550 - 2100 RPM","5 - 31.1 dB","$229.99","White / Gray","360 mm"
"Deepcool LT720 WH","(3)","500 - 2250 RPM","32.9 dB","$99.99","White","360 mm"
"ID-COOLING SE-214-XT","(13)","500 - 1500 RPM","13.8 - 30.5 dB","$16.98","White",""
"Deepcool AK400 ZERO DARK","(2)","500 - 1850 RPM","29 dB","$31.99","Black",""
"Noctua NH-U9S chromax.black","(23)","400 - 2000 RPM","16.3 - 22.8 dB","$69.95","Black",""
"NZXT Kraken 360 RGB","(1)","500 - 1800 RPM","17.9 - 30.6 dB","$192.99","Black","360 mm"
"Vetroo V5","(42)","800 - 1700 RPM","30.8 dB","$34.99","Black",""
"Noctua NH-D9L","(31)","400 - 2000 RPM","16.3 - 22.8 dB","$54.95","",""
"Noctua NH-L9i","(88)","600 - 2500 RPM","14.8 - 23.6 dB","$44.95","Brown",""
"ARCTIC Liquid Freezer II 360 Rev. 2","(1)","200 - 1800 RPM","Black","$114.99","360 mm",""
"Corsair iCUE H150i ELITE CAPELLIX","(86)","2400 RPM","10 - 37 dB","$337.98","Black","360 mm"
"Deepcool AK400 DIGITAL","(3)","500 - 1850 RPM","28 dB","$49.99","Black",""
"NZXT T120 RGB","(3)","500 - 1800 RPM","17.2 - 27.5 dB","$41.99","White",""
"Cooler Master MasterLiquid 360L Core","(1)","350 - 1750 RPM","27.2 dB","$99.99","Black","360 mm"
"Deepcool AG400","(1)","500 - 2000 RPM","31.6 dB","$21.98","Black / Silver",""
"Noctua NH-L9a-AM4","(53)","600 - 2500 RPM","14.8 - 23.6 dB","$44.95","Brown",""
"ARCTIC Freezer 34 eSports DUO","(63)","200 - 2100 RPM","24.4 dB","$42.98","White / Black",""
"Thermaltake Water 3.0 Ultimate","(7)","1000 - 2000 RPM","20 dB","","360 mm",""
"NZXT Kraken Z63","(57)","500 - 1800 RPM","21 - 38 dB","$254.99","Black","280 mm"
"be quiet! Pure Rock 2 FX","(14)","7.9 - 24.4 dB","Black","$44.90","",""
"Cooler Master MasterLiquid ML240L ARGB V2","(5)","650 - 1800 RPM","8 - 27 dB","$77.99","Black","240 mm"
"EK Nucleus AIO CR240 Dark","(2)","550 - 2300 RPM","36 dB","$95.99","Black","240 mm"
"Cooler Master Hyper 212 EVO","(1426)","600 - 2000 RPM","9 - 36 dB","$77.53","",""
"Thermalright Phantom Spirit","(5)","1500 RPM","25.6 dB","$37.90","Black / Silver",""
"Noctua NH-L9A-AM5 CHROMAX.BLACK","(0)","600 - 2500 RPM","14.8 - 23.6 dB","$54.95","Black",""